name,channel,ignored,version,latest_version,latest_upload_time,depended,notes,summary,home_url,dev_url,doc_url,license,direct_dep_count,direct_dep_names,depends_on_python,depends_on_nodejs,depends_on_perl,depends_on_ruby,depends_on_java,linux-64,linux-aarch64,linux-armv7l,linux-ppc64le,noarch,osx-64,osx-arm64,win-32,win-64,win-arm64
fastparquet,,False,,2025.12.0,2025-12-18,pandas,,Python interface to the parquet format,http://github.com/dask/fastparquet,https://github.com/dask/fastparquet,,BSD-3-Clause,14,cramjam/fsspec/libgcc/numba/numpy/packaging/pandas/pytest/python/python_abi/thrift/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False
feedgen,,False,,1.0.0,2024-12-27,,,Generate web feeds in both ATOM and RSS format.,https://github.com/lkiesow/python-feedgen,https://github.com/lkiesow/python-feedgen,https://feedgen.kiesow.be/,BSD-2-Clause,3,lxml/python/python-dateutil,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
fire,,False,,0.7.1,2017-06-16,,,Python Fire is a library for creating command line interfaces (CLIs) from absolutely any Python object.,https://github.com/google/python-fire,https://github.com/google/python-fire,https://github.com/google/python-fire/blob/master/doc/guide.md,Apache-2.0,3,ipython/python/six,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
flake8,,True,,7.3.0,2020-03-15,,,Your Tool For Style Guide Enforcement,http://flake8.pycqa.org/,https://gitlab.com/pycqa/flake8,http://flake8.pycqa.org/,MIT,11,configparser/entrypoints/enum34/functools32/mccabe/pycodestyle/pyflakes/python/python_abi/setuptools/typing,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False
flake8-pyi,,True,,25.5.0,2025-05-26,,,A plugin for flake8 to enable linting .pyi files.,https://github.com/ambv/flake8-pyi,,,MIT,4,flake8/pyflakes/python/python_abi,True,False,False,False,False,True,True,False,True,True,True,True,False,True,False
flatten-dict,,True,,0.4.2,2021-08-20,,,A flexible utility for flattening and unflattening dict-like objects in Python.,https://github.com/ianlini/flatten-dict,,,MIT,4,pathlib2/python/setuptools/six,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
folium,,False,,0.20.0,2025-06-16,,,Make beautiful maps with Leaflet.js and Python,https://github.com/python-visualization/folium,,,MIT,9,altair/branca/jinja2/numpy/pandas/python/requests/vincent/xyzservices,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
gdb,,False,,17.1,2025-12-23,numba,,"GDB, the GNU Project debugger, allows you to see what is going on inside another program while it executes -- or what another program was doing at the moment it crashed.",https://www.gnu.org/software/gdb/,https://sourceware.org/git/binutils-gdb.git,https://sourceware.org/gdb/current/onlinedocs/gdb/,GPL-3.0-only,21,expat/gmp/libcxx/libexpat/libgcc/libgfortran/libgfortran5/libiconv/liblzma/liblzma-devel/libstdcxx/libzlib/mpfr/ncurses/pygments/python/python_abi/readline/six/zlib/zstd,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False
geojson,,False,,3.2.0,2024-12-22,,,Python bindings and utilities for GeoJSON,https://github.com/frewsxcv/python-geojson,,,BSD-3-Clause,1,python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
geopandas,,True,,1.1.3,2026-03-10,,,Geographic pandas extensions,http://geopandas.org,,,BSD-3-Clause,18,descartes/fiona/folium/geopandas-base/mapclassify/matplotlib/matplotlib-base/pandas/psycopg2/pyogrio/pyproj/pysal/python/rtree/shapely/six/sqlalchemy/xyzservices,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
